Date_YMD,Status,Total,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Delhi,Goa,Gujrat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerela,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal
26-03-2020,Deceased,5,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-03-2020,Confirmed,164,2,0,0,2,0,4,0,4,1,0,6,0,9,39,0,9,31,0,0,0,0,0,5,10,0,9,15,0,7,0,5
27-03-2020,Recovered,26,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,0,18,0,0,0,0,0,1,0,0,1,0,0,0,0,0
27-03-2020,Deceased,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-03-2020,Confirmed,143,6,0,0,2,1,9,0,8,2,0,13,0,17,6,0,10,30,0,0,0,0,0,0,4,0,4,8,0,16,1,3
28-03-2020,Recovered,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28-03-2020,Deceased,5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29-03-2020,Confirmed,110,2,0,0,4,0,23,2,8,0,0,5,0,2,20,0,0,17,0,0,0,0,0,0,5,0,8,3,0,7,1,3
29-03-2020,Recovered,5,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-03-2020,Deceased,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-03-2020,Confirmed,187,2,0,0,0,1,25,0,7,1,0,11,0,5,32,0,8,17,0,0,0,0,0,3,20,0,17,7,0,24,0,1
30-03-2020,Recovered,49,0,0,0,0,0,0,0,2,6,0,0,0,1,4,0,0,14,0,0,0,0,0,0,0,0,2,13,0,6,1,0
30-03-2020,Deceased,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,5,0,0,0,1
31-03-2020,Confirmed,309,21,0,1,6,1,23,0,4,7,0,6,1,13,7,0,19,82,0,0,0,0,1,1,14,0,57,20,0,8,0,15
31-03-2020,Recovered,15,0,0,0,0,2,0,0,2,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3
31-03-2020,Deceased,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
01-04-2020,Confirmed,424,67,0,15,3,0,32,0,13,0,0,7,0,9,24,0,32,33,0,0,0,0,1,4,27,0,110,30,0,13,0,0
01-04-2020,Recovered,16,1,0,0,0,0,0,0,0,10,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01-04-2020,Deceased,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,3,0,2,0,0
02-04-2020,Confirmed,486,38,1,0,5,0,141,0,1,6,3,8,1,14,21,0,9,88,1,0,0,0,0,1,13,0,75,27,0,11,3,16
02-04-2020,Recovered,22,0,0,0,3,1,2,0,5,0,0,1,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
02-04-2020,Deceased,14,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
